,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
control11,1.7761848,-0.13144384,-0.28914058,-0.59780425,-0.5831638,-0.8252936,0.5310823,0.32135737,-0.32312226,-1.4974248,0.13639116,-0.04581315,-0.4374972,-0.25673455,-0.6299053,0.29196274,-0.61902326,1.3620392,-0.5234989,-0.9788483,-0.1658811,-0.088427916,0.81003964,0.85345876,1.1809068,-1.6055169,1.0704861,-0.6535417,-1.3935828,-0.55025303,-0.24644776,0.8777536,-0.002180274,0.8317852,-0.46129048,-0.20247313,-0.31359887,-0.32099473,-1.0500488,0.6274298,0.7314398,-0.45351684,0.22797708,-1.7299722,-1.7696717,1.8478473,-1.5627371,-0.13988666,-0.90042514,-0.34465817,-0.34404382,-1.6752659,0.26620933,0.4375315,-0.37156644,0.11012934,-0.19697224,0.6136273,0.8035707,0.9555909,-0.5718856,0.26382914,0.47289032,1.0480369,-1.261921,-0.50633794,0.20202433,1.8290704,0.23492151,0.051386356,-0.5281203,0.08051591,0.88527554,-0.20188086,0.9168577
control12,2.1503644,-0.9869976,0.07165723,-0.36561596,-0.11283226,-0.56663674,-0.7351108,-0.09146311,0.32869482,-0.8627882,0.662092,0.088707894,-0.11077928,0.69798094,-0.39610058,0.93754745,-0.22291055,1.1499803,-0.7580928,-1.4346662,-0.19682838,-0.22362725,0.8369304,1.4554743,0.9078219,-1.3750986,0.36334136,-0.11424172,-0.81656915,-0.7651139,-0.68443584,0.35534737,0.6827842,-0.0056645744,-1.0106969,0.32580099,-0.13716601,-1.1256508,-0.61001843,0.35265425,1.8152146,-0.7684698,1.0170668,-0.9218818,-0.8304259,1.1689855,-1.4852184,-0.6530113,-1.389635,-0.2569368,0.37088653,-1.5404704,1.2462094,0.55030453,-0.9657108,-0.7008222,-0.07465529,1.5386661,-0.1502871,0.86349815,-1.2202402,-0.06712846,0.5044704,0.9998558,-1.2895477,-0.5885159,0.25093877,-0.50803,1.0317774,0.5770589,0.8391746,0.0068866983,2.4322731,-0.32536763,0.70040816
control14,3.1087992,-0.49523675,0.086768724,-0.5579744,0.22634712,-0.7138353,-0.27795222,-0.0035607824,-0.3441009,-1.3768654,0.5809688,-0.0016011591,-0.5278487,0.12278119,-0.68528455,0.97122705,-0.6243549,1.5549475,0.19425288,-0.9537045,-0.35812414,-0.47269645,1.016801,1.5799493,1.1878917,-1.5192595,1.2086227,0.32463476,-0.26815176,-0.36383948,-0.652555,0.64777637,0.7726309,0.6105919,-0.36464092,-0.9018104,0.30120093,-0.46632364,-0.60563934,0.77522206,1.2228031,-0.2210891,0.4359489,-1.0390574,-1.4964974,1.3934988,-1.8598806,0.19552775,-0.9440545,-1.3321462,0.48576307,-0.65607953,0.78525704,0.7976961,-0.6401633,-0.7831079,-0.73515385,0.95242625,0.44437897,1.0515125,-0.28697088,0.3040484,0.16111298,0.73856586,-1.2989776,-0.63764393,0.36284235,0.5319093,1.3670611,0.30811968,0.041511267,0.10802909,1.2049626,-0.7674163,0.24326465
control15,2.3558755,-0.33962676,0.32898808,-0.8887895,-0.37502226,-0.31516254,-0.028474921,0.15518309,0.24990642,-1.6118159,0.0022137791,0.4061653,-0.18972805,0.5955944,-0.0015456344,1.4629751,-0.23124056,0.53730637,-0.90324384,-0.84023464,-1.0861785,-0.8152594,0.18733536,0.6863426,0.63110787,-1.1410413,0.38498908,-1.199302,-0.67229384,-0.55381995,-0.7216451,1.0954496,-0.17258973,0.25652128,-1.3156843,0.23959675,0.47050816,-0.91777146,-0.6200923,0.16137584,0.6763271,-1.3217947,0.7419342,-0.6128427,-1.5249058,1.9399201,-2.4597294,-0.014338927,-1.1659184,-0.688508,0.1674953,-1.7743471,0.9730935,0.120343536,-0.65371066,0.06690146,-1.4049767,1.0613891,-0.38943812,0.6172004,-0.742296,-1.6721765,0.11801775,1.1274368,-1.1465492,-0.59593797,0.611106,0.5113815,1.1087955,0.50196755,0.64755034,-0.63932645,1.4646302,-0.78809166,0.6909334
control16,2.7231684,0.08602375,-0.35186386,-0.058959953,-0.6985107,-0.36960143,-0.67723936,-0.07040595,-0.23999336,-1.7361405,1.3692317,0.13673994,-0.1107874,-0.020409606,-0.073277086,2.2311127,-0.08984882,0.555726,-0.13451563,-0.6571826,-0.5545566,1.0386904,-0.45504108,1.0713233,0.18066208,-1.1973041,-0.043890204,-0.837302,-0.9733435,-1.0177029,-0.20937665,0.8469863,0.72249377,0.79551,-1.0528849,-0.095800385,0.09961896,-0.7059595,-1.1183324,0.7629055,1.5435048,-0.8025414,0.33221078,-0.03876602,-1.036778,2.2602832,-1.4511095,-0.8275421,-0.8253185,-1.2473961,-0.7900945,-1.5881132,0.73848885,0.78699356,-1.2957082,0.21123417,-0.12680246,1.3212723,-0.07950494,0.9278555,-0.9246742,-0.78332835,-0.021581905,1.0751327,-1.2172477,-0.62840784,0.12400854,0.69690555,0.44637653,1.2695531,0.372001,0.38088706,1.2821307,0.103468575,0.61425054
control17,1.6615555,-0.4185487,0.1433525,-1.0584562,-0.4936138,-1.0408392,-0.43177226,-0.24675973,-0.46639684,-1.1057343,0.2692033,0.21643016,-0.20929264,0.9053554,-0.012876954,1.103527,-0.19856705,1.1239728,-0.050567333,-0.8235387,-0.5247844,0.2872225,0.050240446,1.1475142,0.1516289,-1.7549411,-0.014060604,-0.6978817,-0.8327352,-0.1202955,-0.23392402,0.8987233,0.8188641,0.19457026,-1.2950315,0.024279777,0.2974716,-0.53049135,-0.58000565,0.72273546,1.0188057,-0.28116056,0.81922483,-0.6335876,-1.7415743,1.6007673,-2.0751934,-0.10169992,-0.90089065,-0.71944773,0.26447728,-1.6317413,0.8973205,0.94333684,-0.28482145,0.07992439,-1.1386721,0.67896616,0.55527806,1.1763003,-1.1477004,-0.87605387,0.32815176,1.1367182,-1.4287199,-0.54256475,0.58303255,0.41010365,1.2724588,1.1455117,-0.081394136,0.48841012,0.6904983,-0.7210527,1.0487833
control18,1.341345,-0.46642894,-0.15049759,-1.1889967,-0.1577547,-0.8491459,-0.14847948,-0.03214615,0.5474862,-0.4255677,-0.3141837,-0.52218384,-0.37127608,0.5419155,-0.27301344,1.2403791,0.38816488,0.80501753,-0.9547723,-1.1950653,-0.41167325,0.7493567,0.49612406,0.45589465,1.4464153,-0.76914084,0.2414461,0.63147736,-1.5413462,-0.55686915,-0.004920111,0.5872705,1.1575009,0.62138146,-1.7840376,-0.3229832,0.2937994,-0.8899653,-1.4022843,0.28029382,1.0512248,-1.1573641,0.8035228,-0.30390775,-1.3473225,1.861132,-1.777798,0.0242635,-1.1185545,-1.0676614,0.07092069,-1.2941967,0.7307367,0.2995549,-1.1721525,-0.12213291,-0.27603078,1.3778589,-0.29174396,0.5446615,-0.8541463,-0.82825834,0.19012053,1.1414512,-0.70371604,0.03190099,-0.4249568,0.57913816,1.7358973,1.1074619,-0.0142601505,0.12022986,0.6357267,-0.25412485,0.12884462
control19,2.8293936,-0.42934576,-0.790318,-0.41229755,0.8498555,-1.3477796,-0.015156431,0.104690276,0.012849389,-0.6043794,0.75739974,-0.08614823,-0.45583177,0.08314398,0.23623541,0.74158424,-0.0038409205,1.173647,-0.1507183,-1.3379195,-0.98412085,1.1438719,-0.5537189,1.6037143,1.391802,-1.2217987,0.3274202,0.13142982,-0.80070823,-0.5023465,-0.33062336,0.44246984,1.0049917,0.45357633,-1.7441086,0.09489341,0.8976776,-1.1971276,-1.6440563,0.68784606,0.90071964,-0.54124796,0.51354647,-0.88186854,-0.8107421,2.1827035,-1.5249931,-0.6328824,-1.5004374,-0.27997115,0.30386648,-0.7992579,1.13397,-0.11823381,-1.0243778,-0.36557728,0.00871382,1.4535787,-0.37936443,0.88400555,-0.7401923,-0.71897686,0.4946858,1.1725961,-1.3742366,-0.38663515,-0.4138312,0.5897031,1.5129218,0.44034174,0.15323174,-0.06135621,0.6318099,-1.1588755,1.0025936
control20,2.5870502,-0.3970753,0.00063430844,-0.3491275,-0.47957164,-1.1295129,-0.7304649,-0.34260908,-0.5106202,-1.3293097,0.95480096,0.14582637,-0.17334242,-0.03903851,0.24602124,1.0989252,-0.38608244,0.13439874,0.027522098,-1.7190151,-0.5359041,1.1215087,0.7190686,0.53219193,0.43568727,-1.1214827,0.37244362,-1.014281,-1.3955361,-0.27847773,-0.21150948,0.69797885,0.026379306,0.62802994,-1.2238383,0.21879146,0.34990168,-0.09801453,-0.62501425,0.47119987,1.0882105,-0.75239146,1.4090916,-0.5609721,-1.4093012,1.2045141,-1.442076,0.06241725,-0.9981069,-0.4030363,-0.1281816,-0.71109074,0.45376953,1.0020082,-0.3821471,0.0077453433,-1.1775657,1.5604793,0.5869027,0.4501341,-0.8702269,-0.10664632,0.52912456,0.8707973,-1.6397766,-0.51460874,0.7501799,0.24802145,0.81229925,0.7492732,0.7801795,-0.7699451,1.3864166,-1.0609344,-0.30816433
sujet01_neg,1.5971563,0.49693978,-0.34326917,-0.13955103,0.47613886,-0.4897247,-0.4987044,-0.1642135,-0.6569978,-1.5542909,0.85960495,-0.9321363,-0.50738657,0.07100111,-0.40672976,1.1568222,-0.36591175,0.6445878,-0.34703442,-0.56244516,-0.42982906,0.48210832,1.2785856,0.25602633,0.617316,-1.6379371,-0.1301772,0.2193006,-1.4177828,-0.61965615,-0.73765504,0.6395101,0.61093974,0.83926636,-0.266411,-0.20194331,0.02471377,-0.96341527,-1.2133787,0.19734336,0.7456491,-0.31655306,0.004557148,-0.524516,-2.2516189,1.5852625,-1.9233521,0.11609581,-0.8906973,0.0681465,-0.23764399,-1.1357148,0.58909917,0.7915078,-0.47386518,-0.042475503,0.5505967,0.851179,-0.46162912,1.0860565,-1.0287231,-0.059219796,0.26886696,0.41973135,-1.4442115,-0.5079031,-0.3677043,0.1659299,1.0634005,1.0945756,0.033223152,0.7035666,1.3662323,-0.99955535,0.22404012
