,0
100206,4361.5771484375
100307,2790.406005859375
100408,2865.013671875
100610,2966.9091796875
101006,2957.58984375
101107,2858.85205078125
101309,4210.92578125
101410,4039.246826171875
101915,2960.68798828125
102008,3301.682861328125
102109,3749.97265625
102311,4300.42138671875
102513,3414.10498046875
102614,3039.64111328125
102715,3551.373046875
102816,3021.90771484375
103010,3010.4716796875
103111,4110.6513671875
103212,4442.66162109375
103414,3535.3916015625
103515,3759.30810546875
103818,3047.50244140625
104012,3787.02880859375
104416,3614.79345703125
104820,3025.360595703125
105014,3650.72802734375
105115,3915.75390625
105216,3320.65283203125
105620,3044.7099609375
105923,3664.5185546875
106016,3234.57666015625
106319,3493.11279296875
106521,4599.35791015625
106824,3783.9130859375
107018,3187.067626953125
107220,3413.07861328125
107321,3582.505859375
107422,4171.080078125
107725,3169.770263671875
108020,4782.9091796875
108121,3726.218505859375
108222,3662.29638671875
108323,3321.121337890625
108525,3496.42919921875
108828,3348.07275390625
109123,3337.647705078125
109325,3114.98974609375
109830,3042.135009765625
110007,3039.14306640625
110411,3102.906494140625
110613,3286.4677734375
111009,4535.658203125
111211,3007.46435546875
111312,2732.21533203125
111413,3512.017578125
111514,3287.5771484375
111716,3133.34716796875
112112,3941.010498046875
112314,3318.310302734375
112516,3760.0986328125
112819,2905.943359375
112920,4982.283203125
113215,3426.43505859375
113316,3238.121826171875
113417,3219.095947265625
113619,3237.536376953125
113821,3503.2099609375
113922,3931.2333984375
114116,2885.03564453125
114217,3520.24365234375
114318,3526.234375
114419,2978.181884765625
114621,2860.431640625
114823,3513.24169921875
114924,3515.3203125
115017,3547.5751953125
115219,3909.64794921875
115320,2810.751953125
115724,3970.5478515625
115825,3741.46875
116120,3665.96630859375
116221,4391.947265625
116423,4217.7763671875
116524,3720.994873046875
116726,3373.625732421875
117021,3359.625244140625
117122,3914.65283203125
117324,3588.74951171875
117728,3908.317626953125
117930,3597.5732421875
118023,3130.244384765625
118124,3545.35595703125
118225,3473.87646484375
118528,3027.939453125
118730,4218.63330078125
118831,2697.712158203125
118932,3621.923583984375
119025,4747.86376953125
119126,3496.98583984375
119732,3591.29345703125
119833,3713.93017578125
120010,3975.65283203125
120111,3400.38134765625
120212,3943.17236328125
120414,3284.705078125
120515,3140.5625
120717,3276.6005859375
121315,3104.517822265625
121416,3703.21484375
121618,3654.6357421875
121719,3506.096435546875
121820,4153.9736328125
121921,3350.50927734375
122317,4375.1103515625
122418,2657.74609375
122620,3712.606201171875
122822,3742.7734375
123117,3142.47314453125
123420,3030.61474609375
123521,3076.068115234375
123723,2946.261474609375
123824,4039.56640625
123925,2682.2509765625
124220,3566.957763671875
124422,3551.497314453125
124624,3795.76513671875
124826,3661.444091796875
125222,3395.234130859375
125424,3209.50634765625
125525,3437.3359375
126325,3387.570068359375
126426,3255.429931640625
126628,2538.804443359375
126931,3503.9921875
127226,4328.552734375
127327,4484.04443359375
127630,3354.814697265625
127731,3181.51416015625
127832,3281.116943359375
127933,4015.053955078125
128026,4399.0791015625
128127,3629.38525390625
128329,3650.3486328125
128632,3475.162109375
128935,3063.290283203125
129028,3280.928466796875
129129,2872.42578125
129331,2675.341552734375
129432,3819.6435546875
129533,3751.73583984375
129634,2905.292236328125
129937,3393.576904296875
130013,3668.388916015625
130114,3713.177734375
130316,3411.994140625
130417,3313.0595703125
130518,2861.348876953125
130619,3575.8720703125
130720,3841.703125
130821,4279.96240234375
130922,3220.16748046875
131217,3772.294921875
131419,3759.895751953125
131621,4090.50244140625
131722,2918.638671875
131823,3232.7841796875
131924,3513.79296875
132017,3546.945556640625
132118,3424.5634765625
133019,3352.32470703125
133625,3261.403564453125
133827,3203.79296875
133928,3594.2783203125
134021,3039.63427734375
134223,2995.39208984375
134324,3539.8896484375
134425,3490.52099609375
134627,4411.20751953125
134728,4208.0517578125
134829,2975.204345703125
135124,3179.10595703125
135225,3085.75244140625
135528,3141.12060546875
135629,3591.974365234375
135730,3936.087158203125
135932,3474.43798828125
136126,3762.96484375
136227,3118.806640625
136631,3111.682373046875
136732,3293.2470703125
136833,2782.14892578125
137027,3359.945556640625
137128,3003.615478515625
137229,4724.052734375
137431,2831.610107421875
137532,3496.9658203125
137633,2765.15478515625
137936,4129.2939453125
138130,4291.162109375
138231,3946.16796875
138332,3340.005615234375
138534,3861.528564453125
138837,3400.343017578125
139233,2919.87548828125
139435,2928.62451171875
139637,4342.2880859375
139839,5075.6650390625
140117,3204.784423828125
140319,3144.6884765625
140420,3983.96728515625
140824,3325.7255859375
140925,3279.957763671875
141119,4182.35595703125
141422,3125.311767578125
141826,3441.117919921875
142424,3347.6396484375
142626,3544.59228515625
142828,3447.607421875
143224,3669.470458984375
143325,3387.3583984375
143426,4004.0810546875
143527,3452.127685546875
143830,2996.37939453125
144125,3582.05810546875
144226,3163.0419921875
144428,4224.7568359375
144731,3368.42578125
144832,3689.884765625
144933,3300.9921875
145127,3976.702392578125
145531,3940.18701171875
145632,3761.456298828125
145834,3491.291748046875
146129,3305.80517578125
146331,3619.632568359375
146432,3954.29833984375
146533,3377.92724609375
146634,3272.233642578125
146735,3279.76318359375
146836,3780.9453125
146937,3639.95263671875
147030,3886.138916015625
147636,2919.62744140625
147737,3527.10791015625
148032,3627.69970703125
148133,3250.84814453125
148335,3399.9814453125
148436,3791.88916015625
148840,3515.274169921875
148941,3268.023193359375
149236,4248.3671875
149337,3609.98388671875
149539,4111.126953125
149741,3015.87939453125
149842,2926.89404296875
150019,3535.31103515625
150423,3849.25537109375
150524,3116.91455078125
150625,3768.99658203125
150726,4550.13720703125
150928,3453.13623046875
151021,3953.79248046875
151223,3977.968505859375
151324,3161.9052734375
151425,3517.0126953125
151526,3480.834716796875
151627,2897.840087890625
151728,4242.48974609375
151829,3019.075439453125
151930,3470.38232421875
152225,3663.18212890625
152427,3065.6845703125
152831,2541.712890625
153025,3384.528564453125
153126,3795.3896484375
153227,3869.29052734375
153429,3822.2236328125
153631,3640.62158203125
153732,3460.3583984375
153833,3832.258544921875
153934,3392.829345703125
154229,3331.148681640625
154330,3775.24267578125
154431,3395.81787109375
154532,4174.66162109375
154734,3508.614013671875
154835,3438.890380859375
154936,3473.186279296875
155231,3688.46142578125
155635,4091.8740234375
155938,3957.294921875
156031,3278.127197265625
156233,3358.18359375
156334,2896.544921875
156435,3956.052001953125
156536,4146.3359375
156637,3223.432373046875
157336,3257.388916015625
157437,3401.862060546875
157942,3098.90625
158035,3987.9658203125
158136,3659.583984375
158338,3955.224365234375
158540,3415.937744140625
158843,3140.50244140625
159138,4143.7109375
159239,5069.421875
159340,3949.71044921875
159441,3641.21435546875
159744,3609.507568359375
159845,3274.344970703125
159946,3953.303466796875
160123,3234.54248046875
160729,3421.78271484375
160830,3711.05712890625
160931,3819.857666015625
161327,3750.731201171875
161630,3331.06103515625
161731,3642.256103515625
161832,2835.803466796875
162026,3005.63330078125
162228,3542.37451171875
162329,3989.009765625
162733,3830.09912109375
162935,3497.06494140625
163129,3325.26416015625
163331,3720.672119140625
163432,3112.764404296875
163836,3002.49365234375
164030,3110.26708984375
164131,3083.39208984375
164636,3007.44580078125
164939,3060.061767578125
165032,3866.5087890625
165234,3601.390625
165436,3594.638671875
165638,3852.0068359375
165840,2919.20263671875
165941,3529.01220703125
166438,3473.777099609375
166640,3203.64453125
167036,3446.211669921875
167238,3840.7392578125
167440,4015.337890625
167743,4143.36962890625
168038,4192.3701171875
168139,3935.38720703125
168240,3486.546875
168341,4277.650390625
168745,3271.0517578125
168947,3685.40087890625
169040,3659.52587890625
169141,4085.0087890625
169343,3503.420654296875
169444,3108.4921875
169545,3394.37548828125
169747,4084.636474609375
169949,3343.00341796875
170631,3466.42626953125
170934,2957.55419921875
171128,3288.7060546875
171330,3199.8359375
171431,2978.0498046875
171532,2573.2646484375
171633,3643.23583984375
171734,3204.7939453125
172029,3382.3046875
172130,3531.262939453125
172332,2792.625244140625
172433,3635.712158203125
172534,4122.80126953125
172635,3284.21044921875
172938,3343.75732421875
173132,3497.431640625
173233,3126.945068359375
173334,3810.304931640625
173435,3144.2578125
173536,3251.393798828125
173637,3527.189697265625
173738,3128.68896484375
173839,3577.37255859375
173940,3189.177734375
174437,3635.53662109375
174841,3503.9228515625
175035,4385.2607421875
175136,3719.873291015625
175237,3568.797119140625
175338,4465.392578125
175439,2543.76171875
175540,3921.6376953125
175742,2782.53076171875
176037,3347.171142578125
176239,3379.42138671875
176441,3478.343505859375
176542,3867.965087890625
176744,4079.331298828125
176845,4465.896484375
177140,3596.121337890625
177241,3378.4658203125
177342,3416.260009765625
177645,3229.65625
177746,3827.85791015625
178142,3586.653076171875
178243,3140.654052734375
178647,3013.376953125
178748,3478.2236328125
178849,4143.005859375
178950,3774.309326171875
179245,3776.05419921875
179346,3335.06884765625
179548,3765.973388671875
179952,3367.204833984375
180129,3482.91015625
180230,3880.65283203125
180432,3448.07568359375
180533,3168.873291015625
180735,2756.849609375
180836,2663.8310546875
180937,4114.92626953125
181131,3080.780029296875
181232,3065.6787109375
181636,3318.61474609375
182032,3042.298828125
182436,2838.97412109375
182739,3983.266845703125
182840,3514.41162109375
183034,3078.9296875
183337,3176.12109375
183741,4386.3798828125
185038,3872.24169921875
185139,3882.319580078125
185341,3200.947265625
185442,3556.907958984375
185846,3340.81787109375
185947,3447.9287109375
186040,3605.0400390625
186141,4317.81591796875
186444,3720.064453125
186545,3484.270751953125
186848,3876.377197265625
186949,2666.9423828125
187143,3342.2119140625
187345,3496.90625
187547,3436.052978515625
187850,3595.014404296875
188145,3816.50244140625
188347,3530.73876953125
188448,3474.369140625
188549,4169.71484375
188751,3587.71337890625
189349,3276.60791015625
189450,3937.688720703125
189652,3287.4365234375
190031,3545.990234375
190132,4182.994140625
191033,3071.299072265625
191235,3518.67626953125
191336,3687.213623046875
191437,2914.5068359375
191841,3083.81005859375
191942,2888.2578125
192035,3505.445556640625
192136,3695.6240234375
192237,3291.13720703125
192439,2859.093017578125
192540,3652.471435546875
192641,2915.77734375
192843,3753.19677734375
193239,3286.7685546875
193441,3634.34033203125
193845,3591.5302734375
